epoch,train_loss,elapsed_s
1,0.9720243174921382,0.4130890369415283
2,0.7967922037298029,0.578524112701416
3,0.6410215307365764,0.734809160232544
4,0.5463832223957236,0.9193031787872314
5,0.49241842329502106,1.0741631984710693
6,0.46735226837071503,1.2300491333007812
7,0.4469352052970366,1.42484712600708
8,0.4389095570553433,1.5743260383605957
9,0.421861085024747,1.7701821327209473
10,0.4150752729990266,1.9128360748291016
11,0.4104458493265239,2.0336461067199707
12,0.4129287106069652,2.2178690433502197
13,0.410563281991265,2.3483991622924805
14,0.4100801639936187,2.477626085281372
15,0.39106761664152145,2.600264310836792
16,0.40492522377859463,2.723330020904541
17,0.3967322280461138,2.847529888153076
18,0.4027009572495114,2.982038974761963
19,0.4046214392239397,3.1944832801818848
20,0.4027715792710131,3.3404541015625
21,0.4087300185452808,3.496890068054199
22,0.40481666272336786,3.645301103591919
23,0.404341576451605,3.804158926010132
24,0.39707761054689233,3.9732022285461426
25,0.40284317189996893,4.1267900466918945
26,0.39990750700235367,4.311206102371216
27,0.4028904742815278,4.491446018218994
28,0.39839824627746234,4.608263254165649
29,0.4027595520019531,4.70720911026001
30,0.3945360027930953,4.841182231903076
31,0.39833594452251087,4.99483323097229
32,0.39081249927932565,5.150184869766235
33,0.3954954817891121,5.328661918640137
34,0.38995416868816724,5.481044054031372
35,0.3976304063742811,5.663167953491211
36,0.3959962962703271,5.777214288711548
37,0.3888890499418432,5.944530248641968
38,0.39052666452797974,6.132676124572754
39,0.3847422552379695,6.2894792556762695
40,0.38713896816427057,6.428824186325073
41,0.387367571619424,6.571068048477173
42,0.38504635068503296,6.681242227554321
43,0.38700866496021097,6.7779340744018555
44,0.38221135396849026,6.867638111114502
45,0.38024873354218225,6.986223220825195
46,0.3858433162624186,7.102818012237549
47,0.3798319379037077,7.2178521156311035
48,0.3852288932962851,7.312653064727783
49,0.3799459087577733,7.474017143249512
50,0.38497155701572244,7.6236841678619385
