epoch,train_loss,elapsed_s
1,0.40056790940034454,3.6358582973480225
2,0.3090736299207073,6.8162901401519775
3,0.3057830511782494,9.870004415512085
4,0.303470908815324,12.88927412033081
5,0.30269524599401115,15.935213088989258
6,0.301885520366474,19.017749309539795
7,0.30230245321833027,22.301356077194214
8,0.3005301746788449,25.66709613800049
9,0.30055916473191446,28.687864065170288
10,0.2989571635167636,32.08734941482544
11,0.3006491980744594,35.13612723350525
12,0.30079628690999216,38.179861307144165
13,0.298607630450376,41.18815732002258
14,0.29658445337523964,44.205390214920044
15,0.2971712587430527,47.23204827308655
16,0.2962156216862626,50.39314937591553
17,0.2962256563603098,53.668421268463135
18,0.2962505363552046,56.74227213859558
19,0.2961937886180054,59.816742181777954
20,0.2956645495175379,63.170719385147095
21,0.29507872378404854,66.34182620048523
22,0.29404592968484494,69.50002312660217
23,0.2949799706486507,72.5656111240387
24,0.29401470201957913,75.58518719673157
25,0.2923664366387572,78.64335632324219
26,0.29295353714318173,81.81914806365967
27,0.29465393330024175,85.08312320709229
28,0.29139771488012445,88.44763541221619
29,0.29315762026771824,91.88972520828247
30,0.2920457597880463,95.21822834014893
31,0.2927900460690104,98.50928330421448
32,0.29140931703345313,101.55416321754456
33,0.2912315509784284,104.96435928344727
34,0.29000098059314705,108.18871021270752
35,0.2916081542666046,111.32595419883728
36,0.2922287094772486,114.34747529029846
37,0.2899630740870044,117.42305421829224
38,0.29326414757686137,120.82439517974854
39,0.2924164369585314,124.01712942123413
40,0.29061366504555597,127.10800313949585
41,0.288670958297727,130.1244761943817
42,0.28941114045952626,133.1478042602539
43,0.28826890031548696,136.26392030715942
44,0.2914083182460663,139.655766248703
45,0.289668083620009,142.64670324325562
46,0.2903298851473169,146.15802717208862
47,0.28954070972288465,149.27851223945618
48,0.28955292393555815,152.2961621284485
49,0.2890997946613434,155.30318927764893
50,0.29000743043594335,158.3430483341217
51,0.28828290750452984,161.3273401260376
52,0.2894271654296296,164.34559535980225
53,0.29035806187784485,167.37260222434998
54,0.2895505285543921,170.39764142036438
55,0.29120746756177296,173.4097442626953
56,0.2898000449878383,176.45166945457458
57,0.28894210019738886,179.49493718147278
58,0.2908774413831571,182.52897024154663
59,0.28901061796002986,185.52529525756836
60,0.2890348614666474,188.54339814186096
61,0.28989422541716336,191.54828429222107
62,0.2874584717588275,194.64944624900818
63,0.288625341786452,197.73409628868103
64,0.2891247811390779,200.73304224014282
65,0.2866962687429333,203.75032234191895
66,0.2888458173780541,206.77947425842285
67,0.28916277500425336,209.96075630187988
68,0.28899627292031393,213.15517735481262
69,0.28835330142868754,216.14964509010315
70,0.2890817040470258,219.61962032318115
71,0.2875276623362022,222.86223721504211
72,0.28701691551826386,225.96542835235596
73,0.28587160234129866,229.16321420669556
74,0.2895583200673158,232.17556023597717
75,0.2861589056034987,235.1847882270813
76,0.28708260334755115,238.2065773010254
77,0.28719968050328226,241.196857213974
78,0.28755891046130844,244.20969820022583
79,0.28622338158219895,247.22711515426636
80,0.2889380813308099,250.2868242263794
81,0.2859014721675069,254.11043405532837
82,0.2878514835074622,257.6873562335968
83,0.2859790046645709,260.99026918411255
84,0.28689164910172915,264.1354992389679
85,0.2866904441832872,267.3686714172363
86,0.2871136136782107,270.7959921360016
87,0.2875371510796834,274.1634361743927
88,0.28695143435481957,277.48016834259033
89,0.2861640874627997,280.9302520751953
90,0.28674887549814754,284.179630279541
91,0.28573982111368507,287.5883951187134
92,0.2861366675903348,290.9123194217682
93,0.285856455584003,294.1807782649994
94,0.2889633194509289,297.3191900253296
95,0.28582635580401144,300.32158517837524
96,0.286086825000522,303.35205125808716
97,0.2845344296534648,306.4540092945099
98,0.2868232787513608,309.52224111557007
99,0.28577175412658623,312.54782938957214
